Time,WaterTank1InFlow,Tank1WaterLevel,Tank2WaterLevel,Tank2OutFlow,WaterTank2State,Tank2Puddle,Tank3OutFlow,Tank2.level,controllerwt3_valve
0,0,1.00E-06,0,0,0,0.022567583,0,0,FALSE
0.05,0,6.89E-07,3.11E-07,0,0,0.022567583,0,0,FALSE
0.1,1,0.003333928,4.05E-07,0,0,0.022567583,0,0,FALSE
0.15,1,0.054484331,0.008850002,0,0,0.022567583,0,0,FALSE
0.2,0,0.077170513,0.029497154,0,0,0.022567583,0,0,FALSE
0.25,0,0.06660111,0.040066557,0,0,0.022567583,0,0,FALSE
0.3,0,0.060735312,0.045932355,0,0,0.022567583,0,0,FALSE
0.35,1,0.095830375,0.054170625,0,0,0.022567583,0,0,FALSE
0.4,1,0.123351477,0.066649523,0,0,0.022567583,0,0,FALSE
0.45,0,0.119414404,0.087253262,0,0,0.022567583,0,0,FALSE
0.5,0,0.112229993,0.094437674,0,0,0.022567583,0,0,FALSE
0.55,1,0.146386121,0.103614879,0,0,0.022567583,0,0,FALSE
0.6,1,0.173625351,0.116375649,0,0,0.022567583,0,0,FALSE
0.65,0,0.169494899,0.137172767,0,0,0.022567583,0,0,FALSE
0.7,0,0.162256312,0.144411354,0,0,0.022567583,0,0,FALSE
0.75,1,0.196379501,0.153621499,0,0,0.022567583,0,0,FALSE
0.8,1,0.223611824,0.166389176,0,0,0.022567583,0,0,FALSE
0.85,0,0.219479885,0.187187781,0,0,0.022567583,0,0,FALSE
0.9,0,0.212242667,0.194425,0,0,0.022567583,0,0,FALSE
0.95,1,0.246368772,0.203632228,0,0,0.022567583,0,0,FALSE
1,1,0.273602999,0.216398001,0,0,0.022567583,0,0,FALSE
1.05,0,0.269473487,0.23719418,0,0,0.022567583,0,0,FALSE
1.1,0,0.262237563,0.244430104,0,0,0.022567583,0,0,FALSE
1.15,1,0.296365175,0.253635825,0,0,0.022567583,0,0,FALSE
1.2,1,0.323600163,0.266400837,0,0,0.022567583,0,0,FALSE
1.25,0,0.31947151,0.287196157,0,0,0.022567583,0,0,FALSE
1.3,0,0.312236011,0.294431655,0,0,0.022567583,0,0,FALSE
1.35,1,0.346364098,0.303636902,0,0,0.022567583,0,0,FALSE
1.4,1,0.373599319,0.316401681,0,0,0.022567583,0,0,FALSE
1.45,0,0.369470925,0.337196741,0,0,0.022567583,0,0,FALSE
1.5,0,0.362235554,0.344432113,0,0,0.022567583,0,0,FALSE
1.55,1,0.396363781,0.353637219,0,0,0.022567583,0,0,FALSE
1.6,1,0.423599072,0.366401928,0,0,0.022567583,0,0,FALSE
1.65,0,0.419470754,0.387196913,0,0,0.022567583,0,0,FALSE
1.7,0,0.41223542,0.394432247,0,0,0.022567583,0,0,FALSE
1.75,1,0.446363689,0.403637311,0,0,0.022567583,0,0,FALSE
1.8,1,0.473598999,0.416402001,0,0,0.022567583,0,0,FALSE
1.85,0,0.469470704,0.437196963,0,0,0.022567583,0,0,FALSE
1.9,0,0.462235381,0.444432286,0,0,0.022567583,0,0,FALSE
1.95,1,0.496363662,0.453637338,0,0,0.022567583,0,0,FALSE
2,1,0.523598978,0.466402022,0,0,0.022567583,0,0,FALSE
2.05,0,0.519470689,0.487196978,0,0,0.022567583,0,0,FALSE
2.1,0,0.512235369,0.494432298,0,0,0.022567583,0,0,FALSE
2.15,1,0.546363654,0.503636023,2.43E-04,0.024332245,0.022567583,0,0,FALSE
2.2,1,0.573596375,0.516361988,0.00207976,0.207976031,0.022567583,0,8.92E-06,FALSE
2.25,0,0.569430045,0.536947626,0.006155907,0.615590651,0.022567583,0,1.28E-04,FALSE
2.3,0,0.562125643,0.543964219,0.008048791,0.804879071,0.022567583,0,3.60E-04,FALSE
2.35,1,0.596079808,0.552807344,0.009837474,0.983747407,0.022567583,0,8.37E-04,FALSE
2.4,1,0.623159296,0.56529771,0.011853142,1.185314239,0.022567583,0,0.00122439,FALSE
2.45,0,0.61873089,0.585559534,0.015897603,1.589760281,0.022567583,0,0.001928859,FALSE
2.5,0,0.611241001,0.59237274,0.017750586,1.775058591,0.022567583,0,0.002551282,FALSE
2.55,1,0.644910381,0.600920337,0.019479675,1.947967493,0.022567583,0,0.00361014,FALSE
2.6,1,0.671798312,0.613217353,0.02145641,2.145640979,0.022567583,0,0.004383564,FALSE
2.65,0,0.667082213,0.633192405,0.02544326,2.544325986,0.022567583,0,0.005664359,FALSE
2.7,0,0.659400887,0.639815984,0.027258198,2.725819754,0.022567583,0,0.0066688,FALSE
2.75,1,0.692784136,0.648080958,0.028930617,2.893061741,0.022567583,0,0.008298242,FALSE
2.8,1,0.719482125,0.660190629,0.030869799,3.086979884,0.022567583,0,0.009449892,FALSE
2.85,0,0.714482438,0.679886149,0.034800624,3.48006241,0.022567583,0,0.011295616,FALSE
2.9,0,0.70661296,0.686324328,0.036578406,3.657840584,0.022567583,0,0.012674538,FALSE
2.95,1,0.739715361,0.694312602,0.038195374,3.819537401,0.022567583,0,0.014863317,FALSE
3,1,0.766227042,0.706238729,0.040097773,4.009777295,0.022567583,0,0.016385742,FALSE
3.05,0,0.760949271,0.725660302,0.043973699,4.397369941,0.022567583,0,0.018785267,FALSE
3.1,0,0.752895323,0.731916757,0.045715064,4.571506392,0.022567583,0,0.020531295,FALSE
3.15,1,0.785722389,0.739633799,0.047277677,4.727767746,0.022567583,0,0.023268394,FALSE
3.2,1,0.812051423,0.751380001,0.04914402,4.914401983,0.022567583,0,0.025154293,FALSE
3.25,0,0.806501041,0.770533027,0.05296613,5.296612971,0.022567583,0,0.028096713,FALSE
3.3,0,0.798266254,0.776611339,0.054671795,5.467179452,0.022567583,0,0.030202618,FALSE
3.35,1,0.830823407,0.78406249,0.056181124,5.618112405,0.022567583,0,0.03347724,FALSE
3.4,1,0.856973391,0.795632312,0.05801212,5.801211999,0.022567583,0,0.035719454,FALSE
3.45,0,0.851155767,0.814522079,0.061781473,6.178147315,0.022567583,0,0.039194077,FALSE
3.5,0,0.842743702,0.820425755,0.063452141,6.345214129,0.022567583,0,0.041652772,FALSE
3.55,1,0.875036256,0.827616253,0.064909236,6.490923615,0.022567583,0,0.045454331,FALSE
3.6,1,0.901010717,0.839013167,0.066705582,6.670558172,0.022567583,0,0.048045844,FALSE
3.65,0,0.894931112,0.857644859,0.070423217,7.04232171,0.022567583,0,0.052042191,FALSE
3.7,0,0.88634526,0.863377339,0.072059578,7.205957775,0.022567583,0,0.054846728,FALSE
3.75,1,0.918378427,0.870312316,0.073465467,7.34654666,0.022567583,0,0.059164848,FALSE
3.8,1,0.94418082,0.881539728,0.075227844,7.522784417,0.022567583,0,0.06209878,FALSE
3.85,0,0.937844395,0.899918428,0.07889478,7.889478023,0.022567583,0,0.066606576,FALSE
3.9,0,0.929088178,0.905483083,0.080497509,8.049750901,0.022567583,0,0.069750144,FALSE
3.95,1,0.960867066,0.912167571,0.0818532,8.185320023,0.022567583,0,0.074574652,FALSE
4,1,0.98650078,0.923228818,0.083582279,8.358227873,0.022567583,0,0.077844261,FALSE
4.05,0,0.985695312,0.942241788,0.087375524,8.737552358,0.022567583,0,0.082853435,FALSE
4.1,0,0.975764525,0.948639605,0.089151976,8.915197582,0.022567583,0,0.086335811,FALSE
4.15,1,0.983130185,0.952552399,0.090256839,9.025683885,0.022567583,0,0.091679008,FALSE
4.2,1,1.012738197,0.959319453,0.091136798,9.113679761,0.022567583,0,0.095285599,FALSE
4.25,1,1.048339809,0.978163795,0.094295252,9.429525233,0.022567583,0,0.100750874,FALSE
4.3,0,1.035488147,0.990522651,0.096978235,9.697823548,0.022567583,0,0.104512156,FALSE
4.35,0,1.021527761,0.998583864,0.099315042,9.931504169,0.022567583,0,0.110321906,FALSE
4.4,1,1.032105433,1.000687583,0.099876619,9.987661859,0.022567583,0,0.114286719,FALSE
4.45,1,1.074093747,1.012667031,0.101558809,10.15588093,0.022567583,0,0.120277444,FALSE
4.5,1,1.096771737,1.025882984,0.103846757,10.38467569,0.022567583,0,0.124334189,FALSE
4.55,0,1.077852246,1.04178791,0.107515376,10.75153764,0.022567583,0,0.130557368,FALSE
4.6,0,1.066417946,1.046714737,0.109111552,10.9111552,0.022567583,0,0.136996062,FALSE
4.65,1,1.095291616,1.05013457,0.10958672,10.95867197,0.022567583,0,0.141355203,FALSE
4.7,1,1.133160676,1.065629341,0.111966582,11.19665818,0.022567583,0,0.147928823,FALSE
4.75,0,1.138441929,1.079152886,0.114534897,11.45348968,0.022567583,0,0.152399553,FALSE
4.8,0,1.120123991,1.090498164,0.11752505,11.75250502,0.022567583,0,0.159263086,FALSE
4.85,0,1.113148278,1.092754594,0.118336846,11.83368461,0.022567583,0,0.163954121,FALSE
4.9,1,1.155504974,1.099942559,0.119295032,11.92950315,0.022567583,0,0.171051625,FALSE
4.95,1,1.179429946,1.111212265,0.121100781,12.11007814,0.022567583,0,0.175820233,FALSE
5,0,1.176819571,1.129777786,0.124874294,12.48742939,0.022567583,0,0.18308026,FALSE
5.05,0,1.165936167,1.135629268,0.12656896,12.65689601,0.022567583,0,0.188062654,FALSE
5.1,1,1.172040943,1.138562333,0.127501226,12.75012265,0.022567583,0,0.195651142,FALSE
5.15,1,1.200864239,1.144626655,0.128249499,12.82494991,0.022567583,0,0.200748084,FALSE
5.2,1,1.23532728,1.162388709,0.131199526,13.1199526,0.022567583,0,0.20844056,FALSE
5.25,0,1.221730215,1.174019488,0.133740181,13.37401806,0.022567583,0,0.213678707,FALSE
5.3,0,1.206662741,1.180988361,0.135861671,13.58616713,0.022567583,0,0.221694649,FALSE
5.35,1,1.216507302,1.182366122,0.136279396,13.62793962,0.022567583,0,0.227122045,FALSE
5.4,1,1.257401627,1.19326177,0.137746115,13.77461153,0.022567583,0,0.235297416,FALSE
5.45,1,1.279353694,1.205758975,0.13989084,13.98908401,0.022567583,0,0.240802371,FALSE
5.5,0,1.259350226,1.22059161,0.143345456,14.33454559,0.022567583,0,0.249188673,FALSE
5.55,0,1.250253532,1.223929425,0.144466986,14.44669856,0.022567583,0,0.254910976,FALSE
5.6,1,1.274996074,1.227166469,0.145062624,14.50626241,0.022567583,0,0.263575256,FALSE
5.65,1,1.300561089,1.235777895,0.146266279,14.62662789,0.022567583,0,0.269375776,FALSE
5.7,0,1.316369548,1.254431577,0.149659938,14.96599378,0.022567583,0,0.27814774,FALSE
5.75,0,1.302082618,1.262687011,0.15178131,15.17813103,0.022567583,0,0.284122826,FALSE
5.8,0,1.289316011,1.266298055,0.153114406,15.31144065,0.022567583,0,0.293222633,FALSE
5.85,1,1.317305618,1.268845313,0.153415003,15.34150031,0.022567583,0,0.299342766,FALSE
5.9,1,1.353854853,1.28303802,0.155534255,15.55342548,0.022567583,0,0.308546664,FALSE
5.95,0,1.358260426,1.295697989,0.157929667,15.7929667,0.022567583,0,0.31476097,FALSE
6,0,1.338635302,1.305754508,0.160661728,16.06617278,0.022567583,0,0.324228765,FALSE
6.05,0,1.330792363,1.307156118,0.161302304,16.13023036,0.022567583,0,0.330646127,FALSE
6.1,1,1.371854572,1.313068313,0.16200492,16.200492,0.022567583,0,0.34032213,FALSE
6.15,1,1.394920782,1.323491776,0.16364113,16.36411295,0.022567583,0,0.346799985,FALSE
6.2,0,1.391028599,1.34079428,0.167161586,16.7161586,0.022567583,0,0.356612999,FALSE
6.25,0,1.379294867,1.345807957,0.168688382,16.86883819,0.022567583,0,0.363287727,FALSE
6.3,1,1.384130447,1.347490574,0.169370088,16.93700878,0.022567583,0,0.373403941,FALSE
6.35,1,1.412111795,1.352725416,0.169952147,16.99521471,0.022567583,0,0.380176472,FALSE
6.4,1,1.445318161,1.369249435,0.172654089,17.26540885,0.022567583,0,0.390371661,FALSE
6.45,0,1.43088746,1.380058961,0.175030172,17.50301722,0.022567583,0,0.397268818,FALSE
6.5,0,1.414575725,1.385802071,0.17690603,17.69060299,0.022567583,0,0.407762708,FALSE
6.55,1,1.423594889,1.386366715,0.177160811,17.71608112,0.022567583,0,0.414832696,FALSE
6.6,1,1.463257254,1.396048741,0.178384327,17.83843266,0.022567583,0,0.425461496,FALSE
6.65,1,1.484392087,1.407740881,0.18036772,18.03677196,0.022567583,0,0.43259279,FALSE
6.7,0,1.463168844,1.421371909,0.183581537,18.35815374,0.022567583,0,0.443408242,FALSE
6.75,0,1.453262999,1.423912629,0.184543332,18.45433315,0.022567583,0,0.450740791,FALSE
6.8,1,1.476797833,1.425959959,0.184900554,18.49005545,0.022567583,0,0.461810185,FALSE
6.85,1,1.501561702,1.433782179,0.185946054,18.5946054,0.022567583,0,0.469205016,FALSE
6.9,0,1.516174402,1.451257923,0.189103656,18.91036564,0.022567583,0,0.480358295,FALSE
6.95,0,1.501094254,1.45873196,0.191068439,19.10684386,0.022567583,0,0.487911916,FALSE
7,0,1.487143718,1.461176723,0.192167814,19.2167814,0.022567583,0,0.499369473,FALSE
7.05,1,1.514347956,1.462950317,0.19231337,19.23133698,0.022567583,0,0.507052521,FALSE
7.1,1,1.549724978,1.475988285,0.194201213,19.42012134,0.022567583,0,0.518590838,FALSE
7.15,0,1.553352952,1.487882246,0.196443119,19.64431189,0.022567583,0,0.526352593,FALSE
7.2,0,1.532567214,1.496795452,0.198946062,19.89460615,0.022567583,0,0.538131707,FALSE
7.25,0,1.523954371,1.497438635,0.19943465,19.94346496,0.022567583,0,0.546081207,FALSE
7.3,1,1.563867451,1.50221883,0.199910415,19.9910415,0.022567583,0,0.558045657,FALSE
7.35,1,1.586171375,1.511891371,0.201396141,20.13961408,0.022567583,0,0.566040488,FALSE
7.4,0,1.581141434,1.528073078,0.204691991,20.46919911,0.022567583,0,0.578119304,FALSE
7.45,0,1.56865296,1.532343262,0.206069792,20.60697922,0.022567583,0,0.586295997,FALSE
7.5,1,1.572362039,1.532916173,0.206529115,20.65291145,0.022567583,0,0.598655592,FALSE
7.55,1,1.599596113,1.537414881,0.206963653,20.69636535,0.022567583,0,0.606915226,FALSE
7.6,1,1.631687127,1.552840174,0.209445412,20.94454118,0.022567583,0,0.619331596,FALSE
7.65,0,1.616516547,1.562920849,0.211675435,21.1675435,0.022567583,0,0.62770114,FALSE
7.7,0,1.599100496,1.567576106,0.213333288,21.33332884,0.022567583,0,0.640394233,FALSE
7.75,1,1.607387102,1.567419112,0.213443454,21.34434545,0.022567583,0,0.648922038,FALSE
7.8,1,1.645956079,1.576024049,0.214451123,21.44511228,0.022567583,0,0.661728278,FALSE
7.85,1,1.666365602,1.587001692,0.216291332,21.62913316,0.022567583,0,0.670302964,FALSE
7.9,0,1.64405979,1.59956629,0.219291438,21.92914383,0.022567583,0,0.68327431,FALSE
7.95,0,1.633435814,1.601399583,0.220111465,22.01114651,0.022567583,0,0.692035967,FALSE
8,1,1.655898791,1.602391035,0.220257092,22.02570917,0.022567583,0,0.705239922,FALSE
8.05,1,1.679951635,1.609512829,0.221162227,22.11622267,0.022567583,0,0.71404972,FALSE
8.1,0,1.693503085,1.625943143,0.224110327,22.41103265,0.022567583,0,0.727316437,FALSE
8.15,0,1.677718947,1.632723685,0.225936133,22.59361332,0.022567583,0,0.736271023,FALSE
8.2,0,1.662717663,1.634133363,0.226828079,22.68280792,0.022567583,0,0.749821105,FALSE
8.25,1,1.689224877,1.635220325,0.226836035,22.68360346,0.022567583,0,0.758891255,FALSE
8.3,1,1.723561549,1.64723345,0.228518501,22.85185014,0.022567583,0,0.77250139,FALSE
8.35,0,1.726499396,1.658447573,0.230624168,23.06241682,0.022567583,0,0.781636522,FALSE
8.4,0,1.704683603,1.666346078,0.232923766,23.29237663,0.022567583,0,0.795466953,FALSE
8.45,0,1.695387462,1.66631615,0.233277464,23.32774638,0.022567583,0,0.804776239,FALSE
8.5,1,1.734280679,1.670091685,0.233551897,23.35518967,0.022567583,0,0.818771707,FALSE
8.55,1,1.755908067,1.679097775,0.234904067,23.49040668,0.022567583,0,0.828112869,FALSE
8.6,0,1.749868355,1.694284764,0.238000577,23.8000577,0.022567583,0,0.842202605,FALSE
8.65,0,1.73671004,1.697895093,0.239246144,23.9246144,0.022567583,0,0.851712307,FALSE
8.7,1,1.73941934,1.697483128,0.239508099,23.95080987,0.022567583,0,0.866062923,FALSE
8.75,1,1.765990201,1.70132851,0.239811712,23.9811712,0.022567583,0,0.875642374,FALSE
8.8,1,1.797091329,1.715778673,0.242098056,24.20980558,0.022567583,0,0.890030065,FALSE
8.85,0,1.781264099,1.725212488,0.244198449,24.41984488,0.022567583,0,0.899706366,FALSE
8.9,0,1.762867957,1.728902264,0.245662821,24.56628214,0.022567583,0,0.914351272,FALSE
8.95,1,1.770504411,1.72810481,0.24564464,24.56446401,0.022567583,0,0.924172903,FALSE
9,1,1.808102996,1.73575382,0.246460742,24.64607422,0.022567583,0,0.938911642,FALSE
9.05,1,1.827868801,1.746097341,0.248173874,24.81738737,0.022567583,0,0.948767352,FALSE
9.1,0,1.804602199,1.757715471,0.25098431,25.09843097,0.022567583,0,0.963652074,FALSE
9.15,0,1.793340874,1.758920916,0.251678517,25.16785167,0.022567583,0,0.973682078,FALSE
9.2,1,1.814852569,1.758975268,0.251636349,25.16363495,0.022567583,0,0.988780475,FALSE
9.25,1,1.838274371,1.765475426,0.25241691,25.24169097,0.022567583,0,0.998846069,FALSE
9.3,0,1.850883952,1.780977912,0.255179074,25.5179074,0.022567583,0,1.013988482,FALSE
9.35,0,1.834475016,1.78714297,0.256881539,25.68815387,0.022567583,0,1.024186438,FALSE
9.4,0,1.818541183,1.787634001,0.257589389,25.7589389,0.022567583,0,1.039593655,FALSE
9.45,1,1.844429782,1.788111569,0.257475223,25.74752229,0.022567583,0,1.049894871,FALSE
9.5,1,1.877843133,1.799215138,0.258975416,25.89754158,0.022567583,0,1.065343765,FALSE
9.55,0,1.880168487,1.809825898,0.26096017,26.09601695,0.022567583,0,1.075697781,FALSE
9.6,0,1.857438509,1.816823847,0.263079297,26.30792974,0.022567583,0,1.091348776,FALSE
9.65,0,1.847535936,1.816196525,0.263313278,26.33132783,0.022567583,0,1.101864884,FALSE
9.7,1,1.885524015,1.819080416,0.263409027,26.34090268,0.022567583,0,1.1176629,FALSE
9.75,1,1.906550971,1.827495025,0.264642665,26.46426649,0.022567583,0,1.128198942,FALSE
9.8,0,1.899615078,1.841799192,0.267562259,26.75622588,0.022567583,0,1.14407339,FALSE
9.85,0,1.885862272,1.844823892,0.268690467,26.86904668,0.022567583,0,1.154766149,FALSE
9.9,1,1.887684259,1.843537842,0.268777256,26.87772559,0.022567583,0,1.170883816,FALSE
9.95,1,1.913666513,1.84680339,0.268964671,26.89646715,0.022567583,0,1.181634617,FALSE
10,1,1.943889108,1.860388117,0.271077583,27.1077583,0.022567583,0,1.197771872,FALSE
10.05,0,1.927479094,1.869247836,0.273062928,27.30629282,0.022567583,0,1.208607933,FALSE
10.1,0,1.908213113,1.87208074,0.274355585,27.43555846,0.022567583,0,1.22498509,FALSE
10.15,1,1.915272551,1.870714871,0.274223494,27.42234939,0.022567583,0,1.235955005,FALSE
10.2,1,1.952009904,1.877515488,0.274869579,27.48695791,0.022567583,0,1.252408855,FALSE
10.25,1,1.971204402,1.887296218,0.276469928,27.64699283,0.022567583,0,1.263401485,FALSE
10.3,0,1.947085091,1.898074351,0.27911203,27.91120299,0.022567583,0,1.279984346,FALSE
10.35,0,1.935258112,1.898722575,0.279694571,27.96945705,0.022567583,0,1.29114002,FALSE
10.4,1,1.955925535,1.89794524,0.279485735,27.94857346,0.022567583,0,1.307919752,FALSE
10.45,1,1.978787281,1.903893691,0.280155734,28.01557336,0.022567583,0,1.319099878,FALSE
10.5,0,1.990560945,1.91857272,0.282752878,28.27528784,0.022567583,0,1.335906989,FALSE
10.55,0,1.973597495,1.924191531,0.284345876,28.43458758,0.022567583,0,1.347208447,FALSE
10.6,0,1.956836017,1.923867255,0.28489034,28.48903396,0.022567583,0,1.364263889,FALSE
10.65,1,1.982175589,1.92380398,0.284667789,28.46677895,0.022567583,0,1.375657688,FALSE
